L 1,L 2,East Sikkim,North Sikkim,South Sikkim,West Sikkim,Grand Total
Agriculture,Crop land,153.60,44.17,206.28,182.71,586.75
Agriculture,Current Shifting cultivation,,,,,
Agriculture,Fallow,,0.44,,0.13,0.57
Agriculture,Plantation,,,3.96,3.57,7.53
Barren/unculturable/ Wastelands,Barren Rocky,114.33,739.87,6.12,136.67,996.98
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,0.09,0.35,,,0.43
Barren/unculturable/ Wastelands,Rann,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,
Barren/unculturable/ Wastelands,Sandy Area,0.04,2.10,1.35,0.07,3.57
Barren/unculturable/ Wastelands,Scrub Land,2.63,8.50,6.66,2.91,20.70
Builtup,Mining,,,,,
Builtup,Rural,2.18,1.19,1.46,0.55,5.37
Builtup,Urban,11.46,0.68,3.55,1.01,16.70
Forest,Deciduous,33.17,10.94,72.05,70.19,186.34
Forest,Evergreen/Semi evergreen,557.12,1133.88,375.08,596.11,2662.19
Forest,Forest Plantation,0.97,,1.87,1.20,4.04
Forest,Scrub Forest,2.35,18.48,13.19,13.39,47.41
Forest,Swamp / Mangroves,0.00,0.00,0.00,0.00,0.00
Grass / Grazing,Grass / Grazing,65.12,524.55,35.72,67.09,692.49
Snow and Glacier,Snow and Glacier,2.82,1710.90,14.80,81.37,1809.89
Wet lands / Water bodies,Inland Wetland,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,
Wet lands / Water bodies,River/Stream/Canals,6.26,18.92,7.92,8.09,41.20
Wet lands / Water bodies,Water bodies,1.85,11.05,,0.93,13.83
