L 1,L 2,Bokaro,Chatra,Deoghar,Dhanbad,Dumka,Garhwa,Giridih,Godda,Gumla,Hazaribag,Jamtara,Koderma,Latehar,Lohardaga,Pakur,Palamu,Pashchim Singhbhum,Purba Singhbhum,Ranchi,Sahibganj,Saraikela Kharsawan,Simdega,Grand Total
Agriculture,Crop land,1448.76,885.09,1452.15,1493.94,2452.48,1486.30,1778.73,1182.79,2264.20,1561.24,1186.69,793.72,1068.24,688.35,1076.27,1807.03,2156.88,1399.04,3457.47,812.44,1201.99,1054.86,32708.65
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,106.94,248.09,139.03,80.56,313.19,255.41,416.83,186.24,687.76,213.12,139.72,38.22,295.48,113.21,99.79,312.82,270.77,227.32,352.72,26.08,113.86,277.29,4914.47
Agriculture,Plantation,0.16,,4.82,0.40,0.92,,6.35,1.08,0.08,,1.75,,0.22,0.23,0.20,,0.04,0.11,2.00,5.97,,0.03,24.37
Barren/unculturable/ Wastelands,Barren Rocky,2.16,0.47,7.73,20.34,23.08,27.89,5.93,3.32,136.06,5.50,9.86,0.13,1.92,3.82,34.65,38.08,26.05,26.41,40.30,1.26,17.78,34.26,466.99
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,2.09,9.52,,2.98,6.88,1.08,,16.08,22.80,1.22,3.93,0.44,5.25,,3.82,0.12,0.06,0.80,,,1.26,78.36
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,,,,,0.08,,,,,,,,,,,,,,,,,,0.08
Barren/unculturable/ Wastelands,Scrub Land,173.15,121.07,374.37,219.31,289.25,277.41,337.74,162.04,377.43,413.40,130.22,249.59,251.13,35.54,95.94,199.91,647.44,281.16,648.19,110.01,251.83,423.58,6069.72
Builtup,Mining,39.57,6.84,3.93,162.13,7.83,2.21,29.26,4.26,13.04,64.63,20.35,44.01,1.25,5.85,13.42,1.58,21.92,5.16,26.82,5.65,5.96,0.75,486.42
Builtup,Rural,95.89,57.69,123.25,130.26,310.74,56.12,188.86,113.54,116.10,157.18,102.87,51.13,43.53,71.96,132.10,184.47,257.87,124.18,358.47,60.19,86.67,132.03,2955.11
Builtup,Urban,112.84,10.95,28.41,189.24,17.17,8.01,27.55,11.78,7.76,86.15,6.96,24.91,9.31,8.47,7.78,17.06,32.66,114.91,177.32,14.45,44.35,5.65,963.71
Forest,Deciduous,598.42,1724.03,122.82,447.15,727.83,1333.47,745.85,365.67,1445.90,1778.30,84.21,1131.28,2192.68,507.58,288.43,1250.44,3395.51,1063.88,2124.62,409.91,657.27,1353.43,23748.67
Forest,Evergreen/Semi evergreen,,,,,,,,,,,,,,,,,,,,,,,
Forest,Forest Plantation,0.81,,4.18,,0.18,,9.96,0.16,,,1.90,,,,0.14,,0.05,2.50,,,0.58,,20.45
Forest,Scrub Forest,186.69,599.62,138.01,107.73,132.62,458.18,402.31,48.44,164.44,487.85,49.37,163.09,316.64,30.03,30.44,462.74,372.34,197.53,364.86,32.46,134.99,419.21,5299.59
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,,,,,,,,,,,,,,,,,,,,0.00,,,0.00
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,,,,0.24,,,,,,,,,,,0.22,,,,,12.70,,,13.16
Wet lands / Water bodies,River/Stream/Canals,46.27,39.20,60.54,46.94,55.27,101.89,69.02,22.36,79.94,51.34,26.55,39.99,59.97,15.74,17.93,156.25,62.19,68.40,94.80,101.04,49.76,45.30,1310.68
Wet lands / Water bodies,Water bodies,49.34,10.85,7.24,97.76,78.38,30.21,9.55,6.31,12.18,71.48,38.34,4.99,9.18,4.97,7.68,20.81,23.16,22.32,49.63,7.83,74.96,8.38,645.57
