L 1,L 2,Anuppur,Ashoknagar,Balaghat,Barwani,Betul,Bhind,Bhopal,Burhanpur,Chhatarpur,Chhindwara,Damoh,Datia,Dewas,Dhar,Dindori,East Nimar,Guna,Gwalior,Harda,Hoshangabad,Indore,Jabalpur,Jhabua,Katni,Mandla,Mandsaur,Morena,Narsinghpur,Neemuch,Panna,Raisen,Rajgarh,Ratlam,Rewa,Sagar,Satna,Sehore,Seoni,Shahdol,Shajapur,Sheopur,Shivpuri,Sidhi,Tikamgarh,Ujjain,Umaria,Vidisha,West Nimar,Grand Total
Agriculture,Crop land,1236.54,3482.57,3591.77,1958.03,5297.24,3735.15,1817.94,1464.14,5639.63,6788.99,3374.06,1672.24,4374.92,6157.54,2049.23,3999.77,3978.07,2837.93,2078.79,3657.41,2714.29,2592.55,3961.81,3765.73,4057.66,3931.33,3111.33,3469.28,1992.18,3352.22,4829.47,4854.27,3797.57,4521.04,6065.17,4682.67,4630.59,5183.64,3906.14,5117.92,2132.82,5400.68,4462.29,3762.41,5283.99,1497.59,5977.83,4766.66,183013.08
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,162.63,8.39,26.66,835.17,428.98,6.92,24.83,88.56,109.69,33.25,383.33,5.94,76.98,26.26,170.89,116.24,32.44,20.55,82.34,51.97,10.80,13.31,781.71,114.51,201.91,238.57,1.40,36.41,155.50,38.41,14.40,244.77,29.66,224.86,117.47,79.19,27.16,30.92,735.08,19.01,27.92,20.52,396.77,13.10,0.99,214.20,6.25,31.83,6518.62
Agriculture,Plantation,9.26,0.29,1.38,0.10,0.12,,,8.40,0.20,0.34,,0.12,,0.47,0.08,0.94,1.45,1.92,,0.48,1.14,0.03,,0.51,,0.49,,0.70,0.49,2.55,0.10,,0.35,2.94,0.48,0.57,,,6.71,0.61,,,3.42,0.51,0.29,2.82,0.14,0.07,50.47
Barren/uncultu rable/ Wastelands,Barren Rocky,1.22,,0.80,2.50,0.22,,0.01,,4.96,1.04,10.05,0.31,2.63,20.15,,11.07,,,,0.86,13.59,0.98,20.79,3.15,5.97,65.75,3.00,0.29,10.88,,11.46,18.10,11.48,99.62,4.63,11.80,0.45,0.97,30.02,6.78,,5.91,7.37,,1.21,0.05,6.57,37.89,434.53
Barren/uncultu rable/ Wastelands,Gullied / Ravinous Land,2.25,,,45.13,1.38,411.87,0.39,3.93,25.89,,7.99,16.70,8.60,33.73,,0.82,1.71,34.39,1.18,3.48,1.88,48.67,,2.67,2.98,11.88,526.47,27.24,2.87,5.32,,8.41,4.06,10.67,4.79,10.33,1.18,0.40,2.09,2.74,120.63,4.47,13.87,2.65,15.98,6.32,1.41,28.61,1468.02
Barren/uncultu rable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/uncultu rable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/uncultu rable/ Wastelands,Sandy Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/uncultu rable/ Wastelands,Scrub Land,138.58,294.76,482.84,448.25,360.96,72.02,243.43,100.90,847.73,318.51,888.36,79.08,294.94,664.74,230.69,375.98,511.79,465.17,118.90,199.25,286.08,481.18,378.68,1084.55,709.35,559.27,289.09,129.64,471.98,734.44,329.31,592.30,509.20,368.31,1354.92,580.14,232.75,156.12,768.46,803.11,498.44,1228.80,1408.69,406.02,570.13,515.56,380.42,827.38,23791.24
Builtup,Mining,9.98,1.19,8.07,0.30,3.91,1.71,2.20,0.27,2.11,7.76,4.96,0.03,6.63,14.55,,,1.66,7.76,0.46,0.28,2.30,3.64,1.70,18.55,1.75,5.02,2.20,1.75,6.78,2.86,5.64,0.35,2.88,8.31,3.36,22.22,5.89,0.50,4.18,0.94,0.17,1.03,31.13,3.37,14.11,0.55,0.80,1.98,227.78
Builtup,Rural,43.65,27.76,113.23,24.73,73.94,48.18,30.14,18.61,66.28,53.51,37.29,18.92,78.40,83.47,43.02,74.72,25.44,39.36,44.22,68.00,45.60,34.88,20.35,68.35,94.01,66.51,43.53,49.84,35.00,37.76,77.73,93.07,46.43,91.43,92.35,85.13,68.82,75.56,111.86,75.44,24.64,62.07,53.52,60.88,74.81,28.29,85.58,70.81,2787.14
Builtup,Urban,15.81,5.73,20.21,12.56,26.88,38.27,176.37,12.64,16.85,29.48,11.96,5.19,37.88,26.21,0.06,18.22,15.59,106.05,9.61,46.13,149.88,118.45,6.28,21.83,13.09,18.41,29.05,12.44,23.54,4.32,22.04,13.01,23.36,32.52,50.37,31.66,18.35,8.98,22.20,13.06,5.68,19.43,37.62,8.51,45.15,6.26,20.51,19.89,1427.56
Forest,Deciduous,382.95,656.55,4549.45,1072.40,3527.60,72.39,321.55,1352.65,1636.28,4167.19,2217.19,157.73,1597.70,680.02,1397.76,2038.59,1429.09,1111.21,882.99,2322.47,493.31,565.13,863.38,899.24,3350.52,270.89,282.35,1253.23,688.22,2508.79,2903.07,150.08,213.37,725.82,2246.77,1647.03,1313.63,2888.48,2212.66,10.83,2486.78,2330.22,3356.61,519.02,5.69,1271.29,685.36,1434.21,69149.74
Forest,Evergreen/Semi evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest,Forest Plantation,0.07,,1.14,,,0.50,,,0.57,,0.57,1.31,,0.08,0.11,,2.21,,,,,,1.04,0.96,0.16,,0.48,,0.67,0.58,0.12,,,2.48,0.51,,,0.06,12.52,,2.68,1.84,0.64,0.25,,2.83,,,34.38
Forest,Scrub Forest,47.50,142.97,227.70,906.97,167.34,10.60,51.52,198.64,134.05,225.02,254.72,41.11,470.04,274.61,137.41,270.84,210.67,514.23,23.79,31.76,108.11,33.84,580.33,42.51,402.66,122.33,562.47,35.42,744.00,322.50,129.43,69.81,141.51,126.26,193.68,202.57,160.88,161.29,217.88,35.83,1212.35,970.10,434.23,145.78,1.99,75.02,120.47,651.05,12345.75
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,,,,1.89
Snow and Glacie,rSnow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,River/Stream/Canals,22.89,24.65,129.23,105.22,99.58,55.95,10.08,42.72,86.14,113.03,62.07,35.16,34.64,91.62,33.76,67.63,45.30,12.24,75.00,186.27,19.96,59.16,89.45,40.64,103.25,43.37,107.19,107.57,12.03,88.07,39.65,53.70,48.39,52.69,75.94,27.64,59.79,67.07,109.04,55.00,67.98,90.56,208.76,51.41,40.60,22.73,46.83,115.68,3237.33
