L 1,L 2,Araria,Aurangabad,Banka,Begusarai,Bhabua,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Jehanabad,Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran,Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Grand Total
Agriculture,Crop land,1912.88,2456.32,1741.84,1221.69,1811.54,1654.53,1928.41,1324.31,1558.29,3207.61,1337.77,1056.24,1338.36,2052.05,1040.82,1025.30,873.57,1306.03,2414.84,642.76,1803.10,2055.89,1146.07,2542.93,2505.92,2462.52,2286.77,2514.31,1055.45,1943.19,1579.93,379.94,338.96,1309.83,1457.00,1524.09,943.45,59754.51
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,419.16,283.92,119.08,105.05,241.41,273.28,140.82,74.56,227.39,418.61,304.81,576.10,68.78,278.76,177.43,466.43,131.63,113.37,361.60,115.02,524.78,83.98,553.54,1033.60,99.00,674.22,273.58,117.82,200.44,415.90,433.99,110.56,152.65,440.69,362.24,211.61,223.95,10809.76
Agriculture,Plantation,53.02,7.83,27.47,88.34,0.77,114.51,68.45,24.84,169.71,5.96,20.39,7.49,7.16,51.62,30.55,60.11,17.65,34.63,269.62,3.95,269.26,5.74,9.19,70.15,17.59,177.63,36.40,17.40,37.99,133.34,37.78,5.00,28.09,105.68,8.80,57.60,356.35,2438.06
Barren/unculturable/ Wastelands,Barren Rocky,,6.34,27.40,,12.80,1.53,,,,26.62,,15.27,2.10,,,,10.56,,,4.55,,0.49,29.74,,,,,11.93,,,,1.89,,,,,,151.24
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,13.69,,3.97,,,,,,,29.43,,,,,,,,0.41,,,3.19,,,,,9.32,,,,,,,,,,60.01
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,,,1.04,,0.00,,,,0.05,,,0.51,0.05,,0.41,,,,2.51,,,,,0.01,,0.35,,,,,,,1.85,,,,,6.78
Barren/unculturable/ Wastelands,Scrub Land,71.99,56.28,568.92,35.78,33.18,54.66,24.21,20.14,32.83,170.34,53.95,575.88,8.36,166.30,9.64,107.14,23.28,56.15,19.24,70.90,62.42,0.77,50.98,221.93,44.80,90.42,101.81,60.04,34.37,30.27,94.05,0.35,3.04,22.14,42.55,154.55,36.85,3210.54
Builtup,Mining,,0.16,,,0.07,0.06,0.26,0.27,,2.24,3.17,,0.44,0.02,,,,,,,4.26,0.55,0.93,0.66,5.35,8.48,,9.46,,,,1.82,0.12,3.47,3.57,,0.82,46.21
Builtup,Rural,207.53,101.75,118.98,149.98,92.25,100.27,143.59,108.11,155.15,136.93,149.96,125.61,53.69,82.64,75.80,104.30,55.74,110.61,245.45,68.94,191.05,108.04,112.83,121.76,118.38,256.67,158.23,159.17,71.75,165.04,95.96,28.12,29.16,106.51,98.81,148.24,106.74,4463.73
Builtup,Urban,15.23,10.54,2.32,65.28,3.71,52.81,13.02,10.67,33.76,40.68,5.34,8.20,4.06,21.77,5.76,11.53,11.66,6.98,15.20,18.99,57.97,25.74,10.66,14.38,123.72,23.15,32.56,19.93,14.27,25.85,29.37,7.58,0.06,12.93,11.72,13.09,15.65,796.13
