L 1,L 2,Aizawl,Champhai,Kolasib,Lawngtlai,Lunglei,Mamit,Saiha,Serchhip,Grand Total
Agriculture,Crop land,19.90,48.96,27.75,10.00,12.67,16.87,8.32,32.23,176.71
Agriculture,Current Shifting cultivation,124.05,214.97,17.64,45.09,110.23,74.84,34.63,65.96,687.41
Agriculture,Fallow,,,,,,,,,
Agriculture,Plantation,20.70,15.94,4.60,4.07,8.58,9.03,4.35,9.56,76.84
Barren/unculturable/ Wastelands,Barren Rocky,,,,,,0.90,,,0.90
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,,,,,,,,,
Barren/unculturable/ Wastelands,Scrub Land,136.78,195.85,23.74,86.76,222.41,56.20,151.46,108.30,981.51
Builtup,Mining,,,,,,,,,
Builtup,Rural,29.45,19.76,10.61,17.65,23.85,26.02,9.98,11.50,148.82
Builtup,Urban,39.06,3.51,7.64,3.13,7.35,4.92,3.49,3.87,72.97
Forest,Deciduous,1048.84,313.86,549.94,713.01,1818.57,1421.16,443.28,419.03,6727.70
Forest,Evergreen/Semi evergreen,1502.24,1759.36,532.77,736.19,1606.02,946.62,973.26,505.84,8562.33
Forest,Forest Plantation,17.56,8.32,6.26,13.92,17.13,11.38,8.79,10.13,93.47
Forest,Scrub Forest,622.20,592.62,169.17,277.00,671.59,431.80,301.45,237.98,3303.80
Forest,Swamp / Mangroves,,,,,,,,,
Grass / Grazing,Grass / Grazing,,,,67.12,0.05,3.04,11.62,9.46,91.30
Snow and Glacier,Snow and Glacier,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,
Wet lands / Water bodies,River/Stream/Canals,14.95,11.81,6.32,17.00,36.77,17.98,14.11,7.14,126.09
Wet lands / Water bodies,Water bodies,0.26,0.04,25.55,0.04,0.76,4.22,0.26,,31.13
