L 1,L 2,Bokaro,Chatra,Deoghar,Dhanbad,Dumka,Garhwa,Giridih,Godda,Gumla,Hazaribag,Jamtara,Koderma,Latehar,Lohardaga,Pakur,Palamu,Pashchim Singhbhum,Purba Singhbhum,Ranchi,Sahibganj,Saraikela Kharsawan,Simdega,Grand Total
Agriculture,Crop land,1337.20,634.99,1033.22,1567.85,2502.70,1189.76,1857.28,979.84,1573.72,1300.55,1238.11,657.10,576.02,500.72,754.31,1484.09,2351.28,914.95,2631.79,677.02,1011.84,805.94,27580.29
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,249.89,592.03,562.27,237.45,335.52,613.62,368.01,356.13,1519.38,671.87,146.26,230.32,743.54,351.26,402.78,703.55,402.96,812.48,1488.53,169.41,410.17,836.02,12203.44
Agriculture,Plantation,11.15,0.38,5.17,6.57,2.48,0.26,15.66,2.92,0.46,1.77,8.12,2.82,0.26,0.05,0.07,5.65,,1.40,2.31,6.06,0.77,0.01,74.33
Barren/unculturable/ Wastelands,Barren Rocky,3.32,3.29,10.03,4.68,12.60,29.05,8.04,15.07,114.85,15.26,9.01,2.40,2.53,3.23,5.81,49.41,12.02,8.09,69.57,3.23,5.79,16.59,403.86
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,1.61,51.89,21.25,0.97,4.78,26.40,29.55,0.20,9.85,51.44,0.60,13.46,71.94,5.58,0.30,2.27,,,1.32,,0.10,0.29,293.79
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,,,,,,0.02,,,,,,,,,,,,,,,,,0.02
Barren/unculturable/ Wastelands,Scrub Land,275.95,151.09,372.50,253.72,199.12,171.33,271.05,181.72,243.42,328.97,106.28,209.06,300.77,37.66,142.22,221.41,317.49,192.07,349.07,76.87,163.44,380.86,4946.09
Builtup,Mining,35.62,20.44,4.93,121.49,22.28,3.93,4.22,6.44,21.52,57.54,1.43,17.27,3.81,8.50,24.81,6.63,29.84,7.58,44.87,17.76,7.87,37.30,506.09
Builtup,Rural,92.45,48.57,149.90,141.38,311.90,85.34,191.37,121.40,128.70,145.46,92.13,50.82,43.51,67.23,131.91,128.91,252.54,146.79,339.59,59.68,101.25,93.06,2923.88
Builtup,Urban,128.67,13.87,42.43,225.64,17.47,12.35,28.65,17.27,12.67,100.50,7.96,37.33,13.41,11.17,7.60,24.10,29.25,116.51,209.01,15.54,49.75,7.02,1128.20
Forest,Deciduous,393.35,1332.18,73.98,203.42,734.41,1321.07,682.38,331.79,1397.00,1628.08,77.72,1094.82,1954.24,441.70,282.78,1186.41,3598.66,1063.45,2099.37,403.40,631.40,1177.81,22109.44
Forest,Evergreen/Semi evergreen,,,,,,,,,,,,,,,,,,0.05,,,,,0.05
Forest,Forest Plantation,0.22,0.03,1.84,0.74,0.64,0.17,7.52,0.84,,9.06,0.60,9.90,,1.48,,1.81,,5.52,0.46,,2.72,0.25,43.81
Forest,Scrub Forest,232.01,800.80,124.52,82.73,131.23,465.67,482.45,61.95,202.51,475.71,52.77,170.23,467.94,47.47,31.08,451.45,177.64,162.57,317.01,44.75,103.35,341.04,5426.86
Forest,Swamp / Mangroves,0.14,,,,,,,,,,,,,,,,,,,,,,0.14
Grass / Grazing,Grass / Grazing,,,,,,,,,,,,,,,,,,,,,,,
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,,0.04,,,,,,,,,,,,,,,,,,12.73,,,12.76
Wet lands / Water bodies,River/Stream/Canals,49.62,41.39,60.45,58.03,56.75,98.48,70.56,25.17,82.81,56.74,25.28,43.95,60.69,10.51,16.40,160.05,70.33,77.27,96.44,105.90,60.66,46.17,1373.66
Wet lands / Water bodies,Water bodies,49.81,15.01,13.48,91.33,80.12,26.52,12.26,7.26,14.11,70.04,33.72,5.53,11.35,4.44,4.93,29.26,24.98,24.26,48.65,7.67,90.89,13.64,679.28
