L 1,L 2,Barpeta,Bongaigaon,Cachar,Darrang,Dhemaji,Dhuburi,Dibrugarh,Goalpara,Golaghat,Hailakandi,Jorhat,Kamrup,Karbi Anglong,Karimganj,Kokrajhar,Lakhimpur,Marigaon,Nagaon,Nalbari,North Cachar Hills,Sibsagar,Sonitpur,Tinsukia,Grand Total
Agriculture,Crop land,1554.36,836.62,833.43,1659.49,1514.68,1094.74,989.52,635.44,1332.46,339.58,1008.51,1387.82,877.43,467.07,1162.97,1140.02,914.07,1666.46,1196.76,114.94,962.04,1901.57,826.95,24416.90
Agriculture,Current Shifting cultivation,,,6.83,,,,,,,1.57,3.82,9.07,18.14,1.08,,0.21,,0.08,,17.10,,,0.47,58.36
Agriculture,Fallow,5.75,19.02,20.53,76.61,87.35,19.18,11.68,7.10,6.64,,11.79,122.12,0.40,24.61,5.70,15.07,6.05,8.20,29.40,0.19,0.16,11.64,11.34,500.54
Agriculture,Plantation,3.91,7.80,365.54,195.77,7.46,37.33,455.56,23.09,329.44,91.57,308.03,10.26,95.69,144.25,26.30,48.97,7.77,120.75,17.68,7.59,411.86,463.25,642.34,3822.19
Barren/unculturable/ Wastelands,Barren Rocky,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,1.02,2.00,,0.00,12.47,0.08,0.95,0.09,0.01,,,0.38,,,0.19,9.86,1.69,2.84,2.63,,,7.88,,42.09
Barren/unculturable/ Wastelands,Scrub Land,5.05,12.35,41.90,5.24,25.56,13.92,4.08,94.41,15.04,6.40,11.26,119.22,2224.74,9.70,14.98,12.21,2.22,37.00,7.93,1376.51,6.96,15.03,29.38,4091.09
Builtup,Mining,5.27,2.80,9.93,6.94,0.20,6.94,5.40,1.47,5.50,2.44,4.89,21.57,3.36,9.86,1.20,0.05,8.93,15.37,2.79,0.50,2.95,12.15,5.53,136.01
Builtup,Rural,29.02,23.35,22.55,44.12,21.87,79.74,29.98,24.82,37.02,11.02,10.98,55.60,39.05,17.54,20.43,13.16,1.46,20.39,3.57,35.66,12.18,55.85,30.74,640.09
Builtup,Urban,5.63,28.74,25.83,10.55,13.74,11.68,56.08,6.15,41.51,7.77,36.84,157.14,48.72,13.12,20.82,7.63,12.98,60.64,15.10,28.13,28.37,53.02,53.35,743.55
Forest,Deciduous,692.98,954.41,1309.47,804.46,563.46,845.34,701.09,696.11,862.90,418.56,534.87,1838.52,6175.77,627.66,1368.49,553.78,403.32,1508.60,661.89,2801.17,840.30,1129.06,944.90,27237.11
Forest,Evergreen/Semi evergreen,0.33,104.34,913.60,41.93,166.29,10.08,173.27,,52.65,325.36,152.95,60.32,480.35,396.72,136.85,100.03,0.36,0.06,6.59,189.88,108.09,326.68,619.97,4366.70
Forest,Forest Plantation,,3.47,0.17,10.88,,11.16,,4.11,5.93,,2.15,10.67,5.94,3.87,,,0.37,8.58,0.07,10.94,5.23,0.22,0.05,83.81
Forest,Scrub Forest,21.17,2.62,55.02,13.76,7.24,19.71,25.96,15.44,29.55,82.96,64.78,47.98,378.31,23.15,36.38,5.29,2.54,48.50,12.90,217.83,44.24,65.35,60.16,1280.81
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,267.67,189.23,3.58,135.67,322.26,127.45,199.69,56.56,289.65,0.35,189.59,70.46,7.11,0.23,111.23,100.89,40.06,113.62,64.81,0.27,126.77,399.53,215.99,3032.65
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,56.41,30.61,88.06,28.01,67.57,56.22,21.17,21.49,78.17,17.37,87.62,141.85,3.27,51.03,19.61,48.71,70.72,125.28,35.36,0.29,24.31,54.89,24.67,1152.70
Wet lands / Water bodies,River/Stream/Canals,591.39,291.51,83.63,444.15,425.98,504.02,704.21,236.46,413.30,21.99,422.55,281.51,73.56,17.48,201.33,218.37,225.45,93.82,197.79,61.25,90.91,825.29,320.33,6746.30
Wet lands / Water bodies,Water bodies,5.05,1.11,5.94,3.42,0.89,0.44,2.35,1.28,2.23,0.09,0.36,10.51,2.15,1.65,2.52,2.75,6.01,0.82,1.73,25.76,3.63,2.58,3.83,87.11
