L 1,L 2,North Goa,South_Goa,Grand Total
Agriculture,Crop land,261.02,184.11,445.13
Agriculture,Current Shifting cultivation,,,
Agriculture,Fallow,34.76,53.77,88.53
Agriculture,Plantation,82.37,85.98,168.35
Barren/unculturable/ Wastelands,Barren Rocky,1.13,16.56,17.69
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,
Barren/unculturable/ Wastelands,Rann,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,
Barren/unculturable/ Wastelands,Sandy Area,3.14,7.30,10.44
Barren/unculturable/ Wastelands,Scrub Land,191.48,150.10,341.58
Builtup,Mining,37.08,37.23,74.30
Builtup,Rural,19.73,14.93,34.66
Builtup,Urban,133.73,157.27,291.01
Forest,Deciduous,594.16,704.52,1298.68
Forest,Evergreen/Semi evergreen,174.33,446.11,620.44
Forest,Forest Plantation,42.50,3.25,45.75
Forest,Scrub Forest,33.59,30.10,63.69
Forest,Swamp / Mangroves,13.65,1.92,15.57
Grass / Grazing,Grass / Grazing,0.08,,0.08
Snow and Glacier,Snow and Glacier,,,
Wet lands / Water bodies,Inland Wetland,52.76,19.78,72.54
Wet lands / Water bodies,Coastal Wetland,7.94,13.86,21.80
Wet lands / Water bodies,River/Stream/Canals,45.35,22.93,68.28
Wet lands / Water bodies,Water bodies,4.19,19.28,23.46
