L 1,L 2,Changlang,East Kameng,East Siang,Kurung Kumey,Lohit,Lower Dibang Valley,Lower Subansiri,Papum Pare,Tawang,Tirap,Upper Dibang Valley,Upper Siang,Upper Subansiri,West Kameng,West Siang,Grand Total
Agriculture,Crop land,549.67,38.49,497.40,25.75,708.61,286.00,53.26,110.46,17.75,34.17,6.57,67.85,45.30,79.10,137.26,2657.63
Agriculture,Current Shifting cultivation,35.12,56.19,27.25,47.65,60.28,3.55,56.17,50.28,7.43,43.07,68.52,46.76,47.39,31.26,107.62,688.55
Agriculture,Fallow,,1.12,13.14,4.41,26.72,0.49,0.55,0.14,,0.77,,,3.53,0.92,19.85,71.65
Agriculture,Plantation,15.70,,8.75,,27.98,1.55,,1.13,,0.80,,0.14,,,0.25,56.29
Barren/unculturable/ Wastelands,Barren Rocky,6.32,7.42,14.76,7.68,82.08,38.91,11.66,7.99,6.81,0.07,4.97,23.99,15.60,17.77,13.39,259.41
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,3.93,0.21,9.26,0.02,31.84,6.48,0.06,0.64,,,0.07,5.13,1.38,0.50,1.17,60.69
Barren/unculturable/ Wastelands,Scrub Land,20.32,25.64,123.42,263.60,98.34,72.58,259.09,23.82,643.90,282.25,68.33,94.43,7.41,796.57,105.92,2885.62
Builtup,Mining,0.99,,,,,,,,,,,,,,,0.99
Builtup,Rural,45.50,15.16,31.69,14.32,85.26,7.70,23.36,26.39,7.24,24.13,7.10,9.21,12.96,29.99,22.32,362.34
Builtup,Urban,6.73,2.10,17.95,1.28,15.41,14.58,5.07,30.51,1.81,10.72,2.66,3.13,4.02,1.21,20.12,137.30
Forest,Deciduous,12.04,,27.43,,53.82,11.96,,9.23,,0.09,0.15,0.12,,0.36,0.91,116.11
Forest,Evergreen/Semi evergreen,3917.61,3845.36,3334.84,5604.77,6273.96,2806.96,2387.45,2500.57,823.66,1349.76,4039.52,4352.63,5280.74,5205.80,6069.50,57793.12
Forest,Forest Plantation,2.26,0.05,1.72,0.05,4.36,3.20,13.79,1.15,,0.06,,0.07,0.30,,1.35,28.35
Forest,Scrub Forest,118.90,67.47,102.10,65.08,116.33,67.77,148.84,63.10,147.22,197.62,125.22,65.23,165.94,336.32,308.53,2095.66
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,98.88,0.75,182.36,214.26,1483.63,257.29,7.57,2.03,4.13,,1201.60,476.23,665.01,13.01,300.35,4907.09
Snow and Glacier,Snow and Glacier,122.77,0.12,,845.90,1970.69,282.63,0.02,0.04,496.24,,3388.70,997.09,756.51,786.41,489.75,10136.89
Wet lands / Water bodies,Coastal Wetland,0.01,,,,,,,,,,,,,,,0.01
Wet lands / Water bodies,Inland Wetland,,,0.36,,,,,,,,,,0.10,,,0.46
Wet lands / Water bodies,River/Stream/Canals,111.97,73.91,294.55,45.40,356.13,207.56,26.56,47.16,7.74,11.48,40.49,45.96,22.49,117.31,44.71,1453.43
Wet lands / Water bodies,Water bodies,0.28,,0.03,0.83,6.56,0.79,0.56,0.35,8.07,,5.11,0.04,3.31,5.47,,31.40
