L 1,L 2,Ahmednagar,Akola,Amravati,Aurangabad,Bhandara,Bid,Buldana,Chandrapur,Dhule,Garhchiroli,Gondiya,Hingoli,Jalgaon,Jalna,Kolhapur,Latur,Mumbai City,Mumbai Suburban,Nagpur,Nanded,Nandurbar,Nashik,Osmanabad,Parbhani,Pune,Ratnagiri,Raigarh,Sangli,Satara,Sindhudurg,Solapur,Thane,Wardha,Washim,Yavatmal,Grand Total
Builtup,Mining,11.88,3.65,6.12,7.74,3.58,6.59,4.91,61.14,2.18,1.16,1.26,0.34,3.97,5.02,10.16,3.42,,0.60,46.45,4.38,0.78,10.08,3.52,3.97,21.73,21.11,14.34,2.30,4.51,18.98,7.20,19.54,5.87,0.36,44.86,363.67
Builtup,Rural,121.00,56.62,79.76,97.77,65.99,89.07,102.25,85.59,82.34,96.65,114.91,43.97,176.45,73.48,146.91,86.38,,0.68,113.35,107.76,68.86,117.59,79.06,44.34,138.29,151.56,93.78,84.52,185.28,192.76,144.98,125.41,62.41,47.47,110.58,3387.85
Builtup,Urban,122.83,59.08,84.60,145.89,42.25,69.86,64.16,131.63,63.65,19.68,29.33,20.64,125.60,37.70,134.46,72.64,65.64,216.24,354.36,68.83,20.40,281.75,34.73,53.16,664.23,57.65,191.92,95.13,80.10,18.28,148.80,411.22,85.31,17.76,73.49,4162.99
Forest,Deciduous,418.91,360.16,2534.66,605.68,1003.47,110.22,723.10,3278.21,407.23,10908.40,2140.64,138.32,1282.33,45.37,301.17,16.24,,47.15,2131.70,889.47,1336.72,1921.31,108.19,26.88,609.12,1212.45,612.29,112.12,659.17,1360.49,62.31,783.06,820.45,417.63,2531.21,39915.86
Forest,Evergreen/Semi evergreen,29.82,,,,,,,,,,,,,,1296.02,,,9.29,,,,17.66,,,761.47,37.72,1086.50,73.61,805.76,294.91,,2143.92,,,,6556.67
Forest,Forest Plantation,,,2.16,,7.30,,,118.65,2.15,90.41,5.33,,,0.02,0.58,,,,3.54,,0.27,,0.09,,1.34,,0.08,2.35,0.07,,,0.53,0.37,,,235.27
Forest,Scrub Forest,626.83,62.23,819.47,319.34,41.07,107.36,386.49,456.07,1322.43,469.97,57.57,153.30,500.36,84.92,169.35,,,0.08,92.89,236.16,343.75,1165.82,2.83,75.21,387.85,23.97,422.29,174.82,240.90,0.84,96.81,408.85,70.21,51.31,532.86,9904.20
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,2.60,54.64,,,,,,,,25.26,142.87,,,8.82,,60.42,,,,294.61
Grass / Grazing,Grass / Grazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow and Glacier,Snow and Glacier,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,0.61,,,,,,,,,,87.95,80.60,,,0.80,,,,,43.57,522.34,,,23.42,,344.57,,,,1103.86
Wet lands / Water bodies,Inland Wetland,,,0.21,,11.47,,0.10,,0.03,,0.64,,,,,,,,0.41,,,1.10,,,,,,,,1.70,,0.20,,,0.50,16.34
Wet lands / Water bodies,River/Stream/Canals,207.00,75.24,130.45,73.38,117.93,94.78,54.73,216.02,128.54,305.28,43.62,46.94,255.82,62.87,65.56,47.46,,0.20,190.00,232.85,67.55,144.36,44.40,105.83,160.71,85.33,111.04,104.09,180.07,57.97,123.13,188.05,91.65,39.70,102.41,3954.95
Wet lands / Water bodies,Water bodies,290.44,55.53,146.73,297.67,134.79,206.35,129.37,211.92,81.92,68.76,254.37,129.91,177.04,123.12,152.24,142.11,0.11,7.74,318.53,118.89,65.29,323.46,164.34,91.64,538.92,28.60,47.97,86.02,266.42,35.90,223.68,139.86,121.43,99.99,268.87,5549.91
