L 1,L 2,EastGaro,East Khasi,Jaintia,RiBhoi,South Garo,West Garo,West Khasi,Grand Total
Agriculture,Crop land,152.03,215.67,115.78,192.23,72.75,496.89,118.13,1363.49
Agriculture,Current Shifting cultivation,25.16,0.06,13.85,15.33,11.53,85.92,28.77,180.61
Agriculture,Fallow,,,,,0.29,0.34,,0.63
Agriculture,Plantation,49.03,0.24,1.79,2.23,1.10,512.98,0.20,567.57
Barren/unculturable/ Wastelands,Barren Rocky,,207.44,26.83,0.08,5.52,,32.44,272.30
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,0.37,0.20,1.22,0.09,3.11,,0.01,5.01
Barren/unculturable/ Wastelands,Scrub Land,424.51,199.55,873.11,90.57,156.45,286.67,711.04,2741.91
Builtup,Mining,,3.32,61.74,0.85,,0.19,0.98,67.08
Builtup,Rural,114.25,182.51,116.13,84.56,64.61,45.05,151.87,758.98
Builtup,Urban,4.33,34.57,14.54,16.67,0.67,10.79,6.36,87.92
Forest,Deciduous,1544.81,1821.13,2155.03,1664.66,1215.35,1959.64,4101.76,14462.39
Forest,Evergreen/Semi evergreen,73.22,26.71,290.79,145.34,205.73,11.52,0.60,753.91
Forest,Forest Plantation,,,0.06,12.92,,,,12.98
Forest,Scrub Forest,195.30,2.28,112.74,201.01,82.05,200.92,6.33,800.64
Forest,Swamp / Mangroves,,,,,0.58,,,0.58
Grass / Grazing,Grass / Grazing,0.03,,,,,0.03,,0.06
Snow and Glacier,Snow and Glacier,,,,,,,,
Wet lands / Water bodies,Inland Wetland,2.29,,,0.02,,53.88,,56.20
Wet lands / Water bodies,Coastal Wetland,,,,,,,,
Wet lands / Water bodies,River/Stream/Canals,17.33,48.85,32.05,15.65,29.64,46.68,88.45,278.65
Wet lands / Water bodies,Water bodies,0.33,5.49,3.35,5.78,0.62,2.48,0.06,18.11
