L 1,L 2,Bishnupur,Chandel,Churachandpur,East Imphal,Senapati,Tamenglong,Thoubal,Ukhrul,West Imphal,Grand Total
Agriculture,Crop land,175.65,83.92,117.70,284.52,297.65,72.40,203.31,113.39,245.72,1594.26
Agriculture,Current Shifting cultivation,0.04,102.86,131.27,1.10,63.91,48.24,4.96,109.43,,461.81
Agriculture,Fallow,5.71,0.26,,,,,2.93,,,8.90
Agriculture,Plantation,,7.32,,11.30,3.32,,10.55,,,32.49
Barren/unculturable/ Wastelands,Barren Rocky,,,0.07,,,0.26,,0.13,,0.46
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,0.06,0.10,,,,0.16
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,0.22,,,,0.22
Barren/unculturable/ Wastelands,Sandy Area,,,,,,,,,,
Barren/unculturable/ Wastelands,Scrub Land,1.93,428.95,888.34,15.87,559.87,351.08,44.09,747.96,5.47,3043.55
Builtup,Mining,,,,,,,,,,
Builtup,Rural,25.71,24.73,29.18,56.68,48.48,43.65,65.73,30.71,79.62,404.48
Builtup,Urban,3.65,6.77,9.50,34.74,1.11,4.96,2.79,3.10,39.24,105.86
Forest,Deciduous,44.09,2139.93,2554.76,97.02,734.96,2655.09,28.46,3306.17,8.26,11568.73
Forest,Evergreen/Semi evergreen,8.49,179.81,443.92,105.72,941.88,887.38,7.12,156.52,22.86,2753.70
Forest,Forest Plantation,0.36,,,0.37,,,0.87,,,1.60
Forest,Scrub Forest,12.36,315.25,361.57,91.04,601.76,292.64,31.61,54.01,28.67,1788.91
Forest,Swamp / Mangroves,,,,,,,,,,
Grass / Grazing,Grass / Grazing,,,,,2.57,,,,,2.57
Snow and Glacier,Snow and Glacier,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,13.91,,,1.91,,,66.05,,25.30,107.16
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,
Wet lands / Water bodies,River/Stream/Canals,4.03,23.23,33.74,8.37,15.11,34.98,3.53,22.57,2.24,147.80
Wet lands / Water bodies,Water bodies,200.06,,,0.35,0.32,,42.02,,61.62,304.37
