L 1,L 2,Bilaspur,Chamba,Hamirpur,Kangra,Kinnaur,Kullu,Lahul and Spiti,Mandi,Shimla,Sirmaur,Solan,Una,Grand Total
Agriculture,Crop land,416.42,567.34,395.67,1583.23,16.48,80.77,53.90,921.55,460.66,793.62,547.27,581.11,6418.03
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,
Agriculture,Fallow,,,1.81,0.26,,,,0.63,0.04,,,,2.74
Agriculture,Plantation,0.12,109.52,4.23,81.83,141.63,565.91,36.55,306.86,919.03,14.03,,,2179.71
Barren/unculturable/ Wastelands,Barren Rocky,1.07,656.85,,204.11,2542.44,458.01,6401.08,5.60,225.75,17.49,3.88,4.79,10521.07
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,27.12,,13.08,2.15,,,,15.78,,1.55,16.62,6.16,82.47
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,0.79,0.77,1.72,0.37,3.21,0.07,47.20,0.13,0.06,4.80,0.85,4.29,64.27
Barren/unculturable/ Wastelands,Scrub Land,389.28,1032.35,396.50,923.42,296.52,511.40,260.22,1014.09,565.51,720.49,802.91,545.82,7458.51
Builtup,Mining,1.01,,0.03,4.32,,0.31,,3.62,0.13,6.82,5.65,4.68,26.56
Builtup,Rural,13.63,22.57,26.51,27.11,14.08,22.03,6.04,44.44,41.76,25.92,22.82,43.11,310.03
Builtup,Urban,5.46,9.02,10.48,125.17,2.55,11.85,0.75,12.17,26.72,21.41,49.62,17.89,293.10
Forest,Deciduous,120.29,62.06,24.77,298.18,9.52,10.87,54.11,109.61,14.11,170.94,166.63,232.86,1273.97
Forest,Evergreen/Semi evergreen,46.32,2075.82,185.66,1526.82,632.92,1925.85,145.10,1168.45,2293.89,819.12,209.43,1.70,11031.08
Forest,Forest Plantation,,0.77,,0.76,0.49,,,,,,,,2.02
Forest,Scrub Forest,3.37,31.89,0.52,3.70,6.96,17.87,8.09,35.67,14.23,33.99,3.35,0.98,160.60
Forest,Swamp / Mangroves,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,11.40,1154.91,12.33,231.11,1190.35,919.73,1419.09,257.68,460.32,130.54,75.37,4.06,5866.89
Snow and Glacier,Snow and Glacier,,713.26,,263.53,1481.33,922.24,5225.73,,76.89,,,,8682.97
Wet lands / Water bodies,Inland Wetland,,,,1.03,,0.09,1.49,,,,0.04,0.17,2.82
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,
Wet lands / Water bodies,River/Stream/Canals,17.36,81.30,44.68,211.48,62.00,55.88,174.01,51.37,31.70,63.02,31.17,52.53,876.51
Wet lands / Water bodies,Water bodies,113.36,9.55,0.00,250.42,0.50,0.13,1.65,2.34,0.22,1.26,0.38,39.83,419.64
