L 1,L 2,Mon,Dimapur,Kohima,Mokokchung,Phek,Tuensang,Wokha,Zunheboto,Grand Total
Agriculture,Crop land,30.35,242.23,96.01,26.00,104.52,41.97,19.65,13.33,574.06
Agriculture,Current Shifting cultivation,233.11,0.84,47.95,103.91,72.35,562.91,33.99,105.36,1160.42
Agriculture,Fallow,0.04,7.30,11.66,0.12,0.10,0.66,0.69,0.11,20.68
Agriculture,Plantation,7.46,2.22,0.16,,,,,,9.84
Barren/unculturable/ Wastelands,Barren Rocky,,,0.66,,0.01,0.19,,,0.86
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,,,,,,,,,
Barren/unculturable/ Wastelands,Scrub Land,354.25,111.92,453.15,306.98,393.13,439.03,151.99,145.12,2355.57
Builtup,Mining,3.48,1.85,,,,3.57,,,8.89
Builtup,Rural,28.22,31.20,44.82,38.29,29.35,41.33,15.11,22.76,251.08
Builtup,Urban,3.24,40.91,18.38,9.73,,7.34,7.20,3.42,90.23
Forest,Deciduous,849.37,336.99,1931.97,829.72,1191.28,2533.57,1183.71,671.12,9527.72
Forest,Evergreen/Semi evergreen,17.50,,236.23,0.22,83.47,,2.91,,340.33
Forest,Forest Plantation,,115.87,8.64,0.04,2.27,,,,126.82
Forest,Scrub Forest,246.79,31.22,193.19,288.67,116.36,553.13,182.56,279.02,1890.93
Forest,Swamp / Mangroves,,,,,,,,,
Grass / Grazing,Grass / Grazing,,,19.33,,,,,,19.33
Snow and Glacier,Snow and Glacier,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,
Wet lands / Water bodies,River/Stream/Canals,12.19,23.92,28.52,11.31,33.05,44.26,13.08,14.75,181.10
Wet lands / Water bodies,Water bodies,,3.54,0.32,0.02,0.10,0.03,17.11,0.02,21.14
