L 1,L 2,Anuppur,Ashoknagar,Balaghat,Barwani,Betul,Bhind,Bhopal,Burhanpur,Chhatarpur,Chhindwara,Damoh,Datia,Dewas,Dhar,Dindori,East Nimar,Guna,Gwalior,Harda,Hoshangabad,Indore,Jabalpur,Jhabua,Katni,Mandla,Mandsaur,Morena,Narsinghpur,Neemuch,Panna,Raisen,Rajgarh,Ratlam,Rewa,Sagar,Satna,Sehore,Seoni,Shahdol,Shajapur,Sheopur,Shivpuri,Sidhi,Tikamgarh,Ujjain,Umaria,Vidisha,West Nimar,Grand Total
Agriculture,Crop land,1145.43,3477.85,3582.03,2267.24,5393.66,3727.38,1813.50,1507.35,5641.95,6611.49,3510.23,1674.20,4411.52,6130.56,2080.39,3938.96,4022.71,2833.52,2072.90,3624.01,2672.43,2617.55,4188.73,3634.36,4076.44,3934.19,3100.66,3490.70,2023.83,3351.54,4823.15,4928.60,3835.61,4487.27,6079.72,4535.06,4679.79,5088.96,3736.85,5021.19,2165.22,5317.43,4524.93,3691.31,5342.74,1483.38,5982.80,4850.29,183131.59
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,187.61,1.97,14.96,661.87,341.64,5.89,9.00,64.98,95.57,21.60,234.60,4.42,56.94,27.98,85.89,65.25,21.58,13.11,79.96,44.73,2.47,9.92,551.43,87.56,182.07,30.56,0.93,29.23,79.29,34.74,11.77,78.20,7.37,156.27,100.48,32.01,5.24,22.68,661.76,13.09,26.32,10.37,309.30,5.86,0.19,121.21,4.74,13.44,4628.03
Agriculture,Plantation,7.33,0.42,0.98,0.06,1.02,,0.03,8.38,0.39,111.46,0.16,0.12,0.11,0.82,0.41,0.94,1.89,1.98,,1.18,1.69,0.97,0.65,2.37,0.98,65.12,,1.05,6.75,2.73,0.48,29.67,0.38,3.03,1.10,1.18,,1.08,9.33,62.62,0.44,,3.65,0.87,0.50,2.54,0.72,1.06,338.65
Barren/unculturable/ Wastelands,Barren Rocky,1.22,,0.43,2.35,,,,,4.68,1.04,10.04,0.18,1.87,19.72,,10.91,,,,0.86,9.83,1.64,16.74,2.26,5.97,53.09,3.00,1.12,10.65,,9.34,8.65,9.06,97.15,4.62,9.84,0.39,1.45,29.75,5.84,,5.91,7.21,,1.21,0.05,5.45,35.83,389.35
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,2.25,,,43.53,1.38,414.63,0.39,2.63,35.37,,6.47,16.84,5.97,37.65,6.57,0.82,2.19,37.40,1.18,3.48,1.43,33.29,,2.67,2.98,11.23,533.26,43.15,2.46,5.32,0.92,7.83,21.28,11.61,3.14,9.94,0.93,0.27,2.08,3.41,116.00,4.47,17.40,2.65,12.58,6.43,1.33,28.31,1505.12
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Scrub Land,182.71,275.31,485.78,441.36,376.63,72.81,224.95,95.14,836.76,370.06,893.10,77.18,271.16,621.55,271.83,361.73,479.81,458.61,117.17,195.40,244.42,459.02,357.57,1151.88,697.65,470.28,287.81,98.61,436.01,734.06,357.08,624.54,452.58,437.30,1327.94,591.60,214.69,205.18,890.12,784.30,481.96,1276.65,1388.09,444.92,446.38,556.79,366.61,808.99,23702.08
Builtup,Mining,11.30,3.30,14.67,4.60,5.83,2.64,7.94,0.79,6.24,14.68,5.38,1.85,6.94,17.78,0.16,1.15,3.10,10.60,0.51,0.45,10.46,6.95,2.57,23.15,4.18,8.96,2.72,2.35,8.67,5.10,13.29,2.23,7.84,14.41,10.07,34.06,7.86,4.10,5.13,5.55,0.87,1.48,50.74,6.42,19.14,2.25,10.09,3.29,393.82
