L 1,L 2,Aizawl,Champhai,Kolasib,Lawngtlai,Lunglei,Mamit,Saiha,Serchhip,Grand Total
Agriculture,Crop land,18.96,44.37,25.89,13.60,6.28,10.03,7.21,24.61,150.93
Agriculture,Current Shifting cultivation,110.69,132.93,9.50,43.97,128.62,60.77,38.31,54.48,579.28
Agriculture,Fallow,,,,,,,,,
Agriculture,Plantation,22.69,19.67,2.21,3.71,9.04,8.99,8.06,10.49,84.85
Barren/unculturable/ Wastelands,Barren Rocky,,,,,,0.90,,,0.90
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,,,,,,,,,
Barren/unculturable/ Wastelands,Scrub Land,15.12,12.46,2.42,16.89,18.48,11.88,8.41,52.97,138.64
Builtup,Mining,,,,,,,,,
Builtup,Rural,28.75,19.41,10.36,14.98,22.02,19.01,9.74,10.89,135.17
Builtup,Urban,38.23,3.51,7.64,3.08,7.11,3.57,3.49,3.87,70.49
Forest,Deciduous,1113.66,397.10,585.10,682.09,1819.92,1447.83,490.13,423.17,6959.00
Forest,Evergreen/Semi evergreen,1367.16,1600.38,492.98,718.03,1491.82,908.16,986.22,516.90,8081.66
Forest,Forest Plantation,17.81,8.52,6.90,14.10,17.34,11.83,9.06,10.13,95.69
Forest,Scrub Forest,827.76,934.84,208.21,353.87,977.63,517.92,363.90,293.35,4477.48
Forest,Swamp / Mangroves,,,,,,,,,
Grass / Grazing,Grass / Grazing,,,,109.65,0.23,5.53,26.66,13.00,155.07
Snow and Glacier,Snow and Glacier,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,
Wet lands / Water bodies,River/Stream/Canals,15.00,11.81,6.07,17.01,36.73,17.82,13.62,7.14,125.21
Wet lands / Water bodies,Water bodies,0.16,,24.73,0.02,0.76,0.77,0.19,,26.63
