L 1,L 2,Ajmer,Alwar,Banswara,Baran,Barmer,Bharatpur,Bhilwara,Bikaner,Bundi,Chittaurgarh,Churu,Dausa,Dhaulpur,Dungarpur,Ganganagar,Hanumangarh,Jaipur,Jaisalmer,Jalor,Jhalawar,Jhunjhunun,Jodhpur,Karauli,Kota,Nagaur,Pali,Rajsamand,Sawai Madhopur,Sikar,Sirohi,Tonk,Udaipur,Grand Total
Builtup,Mining,23.04,10.23,0.37,1.50,12.00,0.96,28.18,15.23,31.37,21.15,4.69,1.67,0.68,3.11,0.06,0.60,14.44,22.21,0.40,8.81,6.82,41.10,0.80,21.82,31.57,4.34,47.50,0.36,4.14,4.92,3.23,29.62,396.91
Builtup,Rural,90.40,115.37,29.02,70.50,119.01,72.76,83.64,227.59,57.34,87.92,226.77,38.11,42.25,29.88,215.13,189.30,168.83,94.48,113.41,64.29,122.18,144.71,73.25,53.93,231.31,97.16,41.08,58.31,142.61,36.28,88.63,50.24,3275.69
Builtup,Urban,117.44,112.80,16.06,35.05,90.26,34.06,58.77,178.72,15.43,44.88,76.89,14.95,20.56,8.61,95.98,47.78,324.63,44.55,25.05,23.22,52.47,187.29,20.27,104.13,102.96,53.50,34.62,25.77,56.35,26.13,20.96,77.84,2147.98
Forest,Deciduous,344.36,1283.14,527.97,916.46,0.70,41.22,213.83,80.77,735.39,1873.76,76.78,151.88,199.69,316.54,33.17,15.61,559.73,115.42,160.28,620.60,270.50,44.99,694.11,729.79,51.49,693.38,395.35,615.90,278.10,968.35,216.35,3992.49,17218.09
Forest,Evergreen/Semi evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest,Forest Plantation,,0.43,11.69,21.11,0.86,,,,5.88,7.62,,,,28.54,,2.11,0.44,3.44,0.18,1.97,0.75,2.63,0.10,,,13.74,,0.07,0.68,30.21,1.70,0.36,134.51
Forest,Scrub Forest,224.77,113.95,621.97,1089.20,125.55,56.57,357.12,67.63,756.88,798.79,17.96,78.97,310.44,497.83,,23.77,367.04,107.49,134.03,524.77,155.43,61.30,1216.59,531.10,117.46,180.88,29.36,354.60,300.62,491.73,98.88,1270.25,11082.93
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,79.91,9.04,17.43,80.28,190.40,2.92,299.83,456.54,13.42,46.51,106.70,32.19,2.34,23.50,1.65,12.07,32.94,125.03,240.73,44.73,38.17,608.04,6.65,18.21,377.14,286.14,26.62,8.35,45.85,34.94,2.69,38.15,3309.10
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,0.62,,,0.12,20.42,9.04,,30.00,,,1.39,,,,40.45,41.48,,16.43,,,,26.78,,1.59,3.74,,,,0.12,,,,192.19
Wet lands / Water bodies,River/Stream/Canals,78.39,32.44,92.97,94.28,195.70,59.42,176.22,86.02,86.89,98.47,3.44,80.27,70.78,52.42,97.38,62.85,124.60,124.48,186.30,104.07,26.78,108.79,70.34,166.13,36.26,245.12,72.60,179.44,34.33,121.23,156.97,158.58,3283.95
Wet lands / Water bodies,Water bodies,184.98,18.61,215.23,74.35,31.28,16.38,332.85,12.07,102.98,396.08,13.95,19.55,33.64,109.00,3.45,7.55,150.98,48.31,59.03,88.58,4.18,24.20,54.69,39.68,109.09,153.69,80.71,71.98,14.73,61.86,386.96,208.39,3129.01
