L 1,L 2,Amritsar,Bathinda,Faridkot,Fatehgarh Sahib,Firozpur,Gurdaspur,Hoshiarpur,Jalandhar,Kapurthala,Ludhiana,Mansa,Moga,Muktsar,Nawan Shehar,Patiala,Rupnagar,Sangrur,Grand Total
Agriculture,Crop land,4526.29,2981.63,1324.82,1074.55,5201.60,2892.83,2015.53,2339.88,1436.18,3113.25,1960.34,1543.08,2357.74,986.49,3123.95,1294.18,4629.25,42801.60
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,5.37,5.71,0.68,0.51,9.31,2.54,6.37,6.87,2.04,4.53,9.41,1.34,5.79,2.76,2.79,1.34,1.55,68.93
Agriculture,Plantation,27.91,14.63,7.32,4.73,174.72,27.11,357.56,8.75,3.59,41.26,4.22,1.30,36.76,50.93,17.46,37.33,5.33,820.89
Barren/unculturable/ Wastelands,Barren Rocky,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,5.40,,,,,12.41,2.65,,0.08,,,,,0.26,6.92,7.40,,35.12
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,0.33,,0.41,,9.17,0.62,0.76,,1.55,,,,8.39,,2.75,0.88,0.25,25.12
Barren/unculturable/ Wastelands,Sandy Area,2.06,36.13,1.53,,30.87,3.27,6.03,1.27,0.38,3.35,18.15,0.26,17.83,0.26,0.78,0.19,3.31,125.67
Barren/unculturable/ Wastelands,Scrub Land,9.94,6.21,1.96,2.07,17.27,35.31,72.71,8.17,10.71,26.93,2.67,3.52,3.79,13.25,36.54,98.59,5.85,355.51
Builtup,Mining,8.60,7.05,3.13,2.46,9.73,10.09,7.78,3.87,2.10,21.67,3.33,8.38,2.31,1.69,11.99,7.64,9.17,120.99
Builtup,Rural,173.21,136.96,46.69,39.75,155.37,109.82,110.94,83.41,41.22,166.30,79.77,66.88,83.46,51.90,121.68,78.35,188.22,1733.92
Builtup,Urban,203.58,165.13,50.01,39.49,116.37,105.75,57.96,165.67,62.01,300.44,46.29,28.21,32.22,25.94,184.03,118.56,121.00,1822.64
Forest,Deciduous,20.69,18.76,12.15,3.44,16.16,192.19,564.64,5.50,6.65,23.28,8.05,2.73,9.09,93.46,67.86,366.31,12.43,1423.38
Forest,Evergreen/Semi evergreen,,,,,,12.57,,,,,,,,,,0.04,,12.61
Forest,Forest Plantation,0.14,,,,,0.05,10.91,,0.35,0.18,,,,0.12,0.25,2.82,,14.83
Forest,Scrub Forest,2.16,,7.67,,0.00,7.21,20.02,,0.18,0.50,,,,7.73,4.41,20.56,,70.44
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,,,,,,0.02,,,,,,,,,0.09,0.02,,0.13
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,18.65,,1.39,0.22,15.76,26.14,7.43,0.23,21.74,2.61,0.49,,18.62,,0.26,0.98,0.08,114.61
Wet lands / Water bodies,River/Stream/Canals,80.47,23.96,12.70,8.29,92.36,109.36,64.80,17.99,38.18,53.12,11.61,14.09,28.14,22.78,42.02,77.91,34.16,731.94
Wet lands / Water bodies,Water bodies,3.19,4.83,1.53,1.50,4.30,22.71,3.91,1.38,6.04,4.58,5.66,2.22,3.87,0.45,3.21,3.89,10.39,83.65
