L 1,L 2,Ahmadabad,Amreli,Anand,Banas Kantha,Bharuch,Bhavnagar,Dahod,Gandhinagar,Jamnagar,Junagadh,Kachchh,Kheda,Mahesana,Narmada,Navsari,Panch Mahals,Patan,Porbandar,Rajkot,Sabar Kantha,Surat,Surendranagar,The Dangs,Vadodara,Valsad,Grand Total
Agriculture,Crop land,6297.97,4958.86,2411.36,9505.74,4181.42,6931.91,2053.62,516.36,8177.77,5187.37,5328.78,3580.16,2836.70,1307.92,1425.89,3749.64,3967.24,1478.15,8341.90,5114.25,4555.69,6474.51,266.92,5412.55,1550.80,105613.49
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,775.81,407.24,54.43,663.46,404.89,826.19,384.51,3.06,1757.27,481.74,4724.94,33.12,38.61,163.24,30.13,207.29,793.16,169.09,550.40,120.20,312.74,1969.06,74.24,507.32,90.19,15542.33
Agriculture,Plantation,3.66,8.06,0.98,34.98,3.62,11.75,,1.91,23.99,103.52,41.42,2.77,3.70,2.17,135.59,42.62,4.41,0.99,1.47,1.79,6.40,7.82,,2.19,99.92,545.73
Barren/unculturable/ Wastelands,Barren Rocky,,0.17,,1.42,,0.54,0.69,,3.74,,0.70,0.06,0.99,0.04,3.44,,,0.18,,3.75,,,,,,15.71
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,5.80,,,,,6.82,,,28.23,3.09,38.63,4.10,,,,,7.32,63.26,,8.89,,52.16,,218.30
Barren/unculturable/ Wastelands,Rann,,,,65.22,,,,,,,18412.08,,,,,,113.51,,25.28,,,105.67,,,,18721.76
Barren/unculturable/ Wastelands,Salt Affected Land,255.77,14.67,110.44,25.13,145.26,494.36,,,171.97,10.34,2058.71,4.55,,,11.23,,100.08,8.15,4.04,1.87,20.42,67.26,,1.54,4.05,3509.83
Barren/unculturable/ Wastelands,Sandy Area,0.08,0.08,,,0.76,0.94,,,12.81,4.75,9.92,0.08,,,,,0.06,10.17,,,,,,,0.13,39.77
Barren/unculturable/ Wastelands,Scrub Land,398.09,580.35,85.49,686.31,388.67,1431.98,163.78,42.30,1630.34,529.75,8842.84,195.05,130.17,76.54,68.31,341.01,329.27,218.35,1293.49,627.26,224.58,1208.80,34.24,374.24,60.32,19961.54
Builtup,Mining,0.19,10.18,,3.16,9.87,8.65,0.38,,53.95,19.53,63.84,5.26,0.68,0.21,5.86,6.89,,12.21,12.28,14.33,11.95,13.92,,12.84,1.27,267.44
Builtup,Rural,125.30,99.86,57.63,190.86,95.81,185.36,26.62,19.55,179.95,137.91,203.74,67.82,91.65,24.55,49.41,78.72,89.96,30.56,193.14,110.54,175.73,95.20,8.62,137.60,51.26,2527.34
Builtup,Urban,433.53,44.81,64.93,59.70,156.01,132.87,15.18,44.30,190.07,68.50,297.59,48.54,68.29,6.31,32.93,75.44,45.02,22.69,214.36,66.06,261.26,65.63,0.21,189.29,51.49,2655.02
Forest,Deciduous,2.60,222.22,0.64,900.98,140.63,5.45,425.08,,376.08,1433.59,46.23,61.77,46.42,865.11,61.21,304.79,,180.50,20.90,690.05,1105.17,0.47,1281.70,452.89,567.85,9192.33
Forest,Evergreen/Semi evergreen,,,,,,,,,,,2.27,,,,2.96,,,,,,,,,,0.64,5.87
Forest,Forest Plantation,0.22,,0.07,20.68,0.21,0.09,10.53,,,0.42,0.27,,0.07,2.96,,49.42,24.33,,,0.26,57.08,,3.05,,9.70,179.37
Forest,Scrub Forest,4.30,172.68,,202.37,45.39,185.65,354.40,,4.01,117.37,154.32,1.32,5.44,111.40,173.22,118.11,0.06,6.78,89.50,263.35,149.38,1.15,57.19,310.77,281.47,2809.63
Forest,Swamp / Mangroves,9.75,1.03,13.23,,37.42,93.60,,,327.89,0.15,445.29,,,,19.64,,0.02,,2.21,,43.35,,,,2.06,995.65
Grass / Grazing,Grass / Grazing,4.33,,,2.93,0.53,0.52,,,0.86,,,,,,0.18,0.07,0.04,,0.73,,,6.53,,,0.04,16.75
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,118.21,87.99,119.04,0.35,407.09,505.90,,,631.91,39.78,3917.51,,,,124.60,,11.43,15.16,18.25,,76.99,4.15,,0.05,142.08,6220.48
Wet lands / Water bodies,Inland Wetland,16.50,0.18,24.20,18.12,16.87,9.16,0.23,0.08,1.18,5.37,12.78,2.02,0.35,,1.53,1.71,17.52,8.86,0.13,1.03,36.25,46.44,,0.63,0.94,222.07
Wet lands / Water bodies,River/Stream/Canals,132.58,85.29,75.00,185.79,182.81,134.31,44.60,12.73,278.58,104.67,487.52,96.89,55.84,69.80,51.63,98.67,81.92,22.45,195.04,116.05,181.73,165.33,37.24,249.88,81.48,3227.81
Wet lands / Water bodies,Water bodies,128.10,66.34,20.76,135.77,26.75,195.79,129.38,1.89,302.64,61.24,573.01,47.51,25.45,159.66,13.24,182.63,105.98,116.71,232.56,195.96,438.27,248.18,0.59,90.05,37.30,3535.78
